DATE,COURSE,RACE,CLASS,DISTANCE,PRIZEMONEY,GOING,TIME1,TIME2,TIME3,TIME4,TIME5,TIME6,RACE_SECTIONAL1,RACE_SECTIONAL2,RACE_SECTIONAL3,RACE_SECTIONAL4,RACE_SECTIONAL5,RACE_SECTIONAL6,PLC,NO,HORSE,JOCKEY,TRAINER,AC Weight,Horse Weight,Draw,LBW,Run,Time,Odds,SECTIONAL1,SECTIONAL2,SECTIONAL3,SECTIONAL4,SECTIONAL5,SECTIONAL6,COMMENT
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,1,4,DUNDONNELL|(S110),D Whyte,R Gibson,121,1184,6,-,444-1,1:22.06,3.7,14.09,22.91,23.06,22.00,,,"Slightly slow out, settled just over 2L off the slow pace in 4th, held similar position into straight, responded well to win readily."
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,2,6,WINNING LEADER|(N268),K C Ng,C H Yip,109,1101,2,1-1/4,333-2,1:22.26,56,13.93,22.99,23.10,22.24,,,"Settled in 3rd within 2L of the slow pace, box-seated entering straight, did not find much room until late when quickened well inside final 150 metres."
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,3,3,REWARDING HERO|(N376),H Bowman,J Moore,128,1122,3,1-3/4,66-5-3,1:22.32,6.8,14.37,22.83,23.06,22.06,,,"Jumped fairly, settled at the rear of the small field about 3L off the slow pace, came under pressure soon after straightening, produced only moderate progress in the run home."
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,4,5,WONDERFUL MOMENTS|(P346),J Moreira,J Size,119,1173,5,2-1/4,222-4,1:22.43,3.6,13.81,22.95,23.10,22.57,,,"Broke well, settled 2-wide just off the slow pace, took the lead from the tiring leader 200 metres out but short-lived, finished off tamely."
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,5,2,BEAUTY FLAME|(S117),M Chadwick,A S Cruz,128,1189,1,2-1/2,111-5,1:22.46,2.1,13.69,22.95,23.14,22.68,,,"Began well from the one draw, set a sedate pace to straight, led until finding no extra inside final 200 metres. (Questioned for disappointing performance)"
14/12/2014,"TURF - ""A"" Course",1,Class 1,1400M,"2,200,000",GOOD TO FIRM,13.69,36.64,59.78,1:22.06,,,13.69,22.95,23.14,22.28,0,0,6,1,PACKING WHIZ|(N120),N Callan,C Fownes,133,1212,4,3-3/4,55-6-6,1:22.66,27,14.33,22.87,23.06,22.40,,,"Soon taken back to the rear of the field, one-paced under pressure in the run home."
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,1,1,GOT FLY|(T048),D Whyte,R Gibson,133,1151,13,-,13-12-10-6-1,1:48.16,4.2,14.45,21.93,24.17,23.87,23.74,,3-wide towards the rear. Asked to improve position at 600M turn and was a length off turning in. Kept on strongly and kicked away final 200M.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,2,12,MONSIEUR MOGOK|(S412),J Moreira,A T Millard,118,998,14,1-1/2,12-13-14-11-2,1:48.42,16,14.41,22.13,24.45,23.83,23.60,,Jumped well from wide draw and allowed to drift back to rear section. Saved ground making turn and ran on well in the straight.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,3,7,INDUSTRIALIST WAY|(S023),G Mosse,C H Yip,126,1198,10,2,10-9-3-1-3,1:48.47,6,14.25,22.01,23.69,24.35,24.17,,Missed the kick and was wide facing the breeze behind midfield. Gradually improved after 1100M and was 3-wide among leaders home turn. Kept on well for a minor placing.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,4,13,ARCHIPPUS|(P361),H W Lai,L Ho,114,1132,12,2,11-14-13-9-4,1:48.50,79,14.25,22.33,24.17,23.99,23.76,,Gradually dropped back to rear section. Wide turn home and showed a nice rally in the straight.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,5,4,HOLMES LEGEND|(N375),R Moore,W Y So,132,1085,2,2-1/2,7-10-12-14-5,1:48.54,10,14.17,22.13,24.41,24.27,23.56,,Behind midfield early and middle stages. Last to enter home straight. Found trouble 400M out but rallied impressively thereafter.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,6,5,DALWARI|(S188),Z Purton,D J Hall,131,1075,9,3,6-56-26,1:48.65,10,14.09,21.89,24.21,24.11,24.35,,3-wide better than midfield. 4-wide among leaders turning for home. Remained in contention 300M out but unable to find extra gear thereafter.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,7,10,WRATH OF FIRE|(L420),M Demuro,D E Ferraris,123,1069,5,6-1/4,9-7-7-8-7,1:49.14,18,14.21,21.93,24.17,24.39,24.44,,Slowly away. Raced along the rails at midfield. Quicken on straightening but lost momentum when crowded 250M out. Ran on only fairly thereafter.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,8,6,PO CHING TREASURE|(S388),N Callan,P F Yiu,131,1050,7,7-3/4,4-1-1-3-8,1:49.41,49,13.93,21.73,24.09,24.55,25.11,,Ridden along early and took the lead 1400M. Maintained advantage turning in but faded shortly after.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,9,8,JUN HUO|(S307),B Prebble,K W Lui,126,1201,1,7-3/4,2-4-4-5-9,1:49.41,3,13.89,22.01,24.09,24.43,24.99,,Nicely box-seated behind the pace. Failed to quicken when asked on straightening. Same pace to finish.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,10,11,GRAND ELITE|(M393),C Y Ho,C Fownes,120,1050,8,8-1/4,888-4-10,1:49.49,88,14.21,21.97,24.21,23.91,25.19,,3-wide at midfield. Made up ground at the turn and was 5-wide among leaders turning for home. Faded gradually final 300M.
